id,cn_name,en_name,cover,categories,region,duration,release_date,score
26,龙猫,となりのトトロ,https://p0.meituan.net/movie/c304c687e287c7c2f9e22cf78257872d277201.jpg@464w_644h_1e_1c,动画、冒险、奇幻、家庭,日本,86 分钟,2018-12-14,9.1
27,七武士,七人の侍,https://p1.meituan.net/movie/4ffca83fd972f71e291f8ea8d78a4b58594878.jpg@464w_644h_1e_1c,剧情、动作、冒险,日本,207 分钟,1954-04-26,8.8
28,美国往事,Once Upon a Time in America,https://p1.meituan.net/movie/92198a6fc8c3f5d13aa1bdf203572c0f99438.jpg@464w_644h_1e_1c,剧情、犯罪,意大利、美国,229 分钟,2015-04-23,8.8
29,完美的世界,A Perfect World,https://p1.meituan.net/movie/30310858fdab34c7a17cfd7ec8ad8bfc112201.jpg@464w_644h_1e_1c,剧情、犯罪,美国,138 分钟,1993-11-24,8.8
30,上帝之城,Cidade de Deus,https://p1.meituan.net/movie/b553d13f30100db731ab6cf45668e52d94703.jpg@464w_644h_1e_1c,剧情、犯罪,巴西、法国,130 分钟,,8.8
31,辩护人,변호인,https://p0.meituan.net/movie/1433d81b10d116239dbbf02a06ac3c19265682.jpg@464w_644h_1e_1c,剧情,韩国,127 分钟,2013-12-18,8.8
32,忠犬八公物语,ハチ公物語,https://p0.meituan.net/movie/2d42e00d7ee59ff5bd574f93b8558aa726665.jpg@464w_644h_1e_1c,剧情,日本,107 分钟,1987-08-01,8.8
33,海豚湾,The Cove,https://p0.meituan.net/movie/eb2ea56996f21e7fb47b1a0736c7f177258901.jpg@464w_644h_1e_1c,纪录片,美国,92 分钟,2009-07-31,8.8
34,英雄本色,A Better Tomorrow,https://p0.meituan.net/movie/3e5f5f3aa4b7e5576521e26c2c7c894d253975.jpg@464w_644h_1e_1c,剧情、动作、犯罪,中国香港,95 分钟,2017-11-17,8.8
35,恐怖直播,더 테러 라이브,https://p0.meituan.net/movie/1da0af2570fe697d38c4a37fdfded19b254936.jpg@464w_644h_1e_1c,剧情、悬疑、犯罪,韩国,97 分钟,2013-07-31,8.8
37,窃听风暴,Das Leben der Anderen,https://p0.meituan.net/movie/3985eaf3858bea0f2a3d966bf7ee2103178217.jpg@464w_644h_1e_1c,剧情、悬疑,德国,137 分钟,2006-03-23,8.8
38,时空恋旅人,About Time,https://p0.meituan.net/movie/6d8491386d07cda91967a6fbbd0d0788294693.jpg@464w_644h_1e_1c,喜剧、爱情、奇幻,英国,123 分钟,2013-09-04,8.8
39,穿条纹睡衣的男孩,The Boy in the Striped Pajamas,https://p1.meituan.net/movie/d5970e36c8868a4b746c80f3b3f8a404174615.jpg@464w_644h_1e_1c,剧情、战争,英国、美国,94 分钟,2008-08-28,8.8
40,教父,The Godfather,https://p0.meituan.net/movie/1199dc6273680f175fd9b06c9c36d08a219658.jpg@464w_644h_1e_1c,剧情、犯罪,美国,175 分钟,2015-04-18,8.8
41,萤火之森,蛍火の杜へ,https://p1.meituan.net/movie/4c55f3bf5fa9660db3cb7014651a0950267034.jpg@464w_644h_1e_1c,剧情、爱情、动画、奇幻,日本,45 分钟,2011-09-17,8.8
42,素媛,소원,https://p0.meituan.net/movie/19653e8af59cf473cd40f9ccc0658d93692304.jpg@464w_644h_1e_1c,剧情,韩国,123 分钟,2013-10-02,8.8
